timestamp,open,high,low,close,volume
1762804800000,105818.0,106299.22,105280.0,106011.13,2663.14231
1762819200000,106011.13,107500.0,105500.0,106456.0,4935.02762
1762833600000,106456.0,106546.0,104741.2,104783.98,3316.23424
1762848000000,104783.99,105497.99,104762.23,105311.9,1804.62899
1762862400000,105311.9,105500.0,103170.33,103455.99,8851.069
1762876800000,103455.99,103730.0,102840.22,103126.39,2547.95909
1762891200000,103126.39,103224.29,102476.09,103058.99,2741.58824
1762905600000,103059.0,103440.96,102687.72,103310.0,2672.05561
1762920000000,103310.0,103654.38,103011.0,103112.66,2165.62446
1762934400000,103112.65,105200.0,103112.24,105020.83,3543.70691
1762948800000,105020.82,105333.33,101961.97,102173.51,5192.00313
1762963200000,102173.51,102285.18,100813.59,101297.31,4869.26591
1762977600000,101297.31,101999.35,101141.03,101654.37,2014.98304
1762992000000,101654.37,102604.0,100922.55,102130.21,3586.47221
1763006400000,102130.21,104085.01,101665.59,103475.66,4325.82278
1763020800000,103475.66,103811.49,102553.63,102936.5,3138.63943
1763035200000,102936.49,103483.83,101184.14,101382.64,6264.43277
1763049600000,101382.63,101540.93,98147.4,98682.14,12921.08077
1763064000000,98682.13,100501.31,98000.4,99692.02,5962.05975
1763078400000,99692.03,99866.02,98700.0,99139.38,5839.81569
1763092800000,99139.38,99178.58,95933.75,97151.98,11116.73192
1763107200000,97151.97,97553.7,95711.0,96167.44,5255.60132
1763121600000,96167.45,97322.35,94560.48,96796.14,14312.72078
1763136000000,96796.14,97411.11,94800.55,95778.29,5605.64502
1763150400000,95778.3,95940.0,94012.45,94594.0,5157.63008
1763164800000,94594.0,96846.68,94558.49,96417.12,4376.79077
1763179200000,96417.12,96570.65,95921.21,96333.86,2543.94362
1763193600000,96333.87,96350.52,95630.0,95696.87,2336.22638
1763208000000,95696.86,96471.22,95565.17,96260.0,1987.28578
1763222400000,96259.99,96419.65,95731.32,96012.01,1880.65231
1763236800000,96012.01,96012.01,95119.94,95596.24,1985.99505
1763251200000,95596.23,95979.79,94841.62,95825.02,1896.67006
1763265600000,95825.02,96192.0,95650.72,96099.99,1279.33932
1763280000000,96099.98,96635.11,95500.0,95627.13,2585.38054
1763294400000,95627.13,95900.0,94368.24,94573.46,2546.31874
1763308800000,94573.46,95567.79,93770.48,94020.0,9045.25375
1763323200000,94020.49,94739.74,93005.55,94261.44,6536.44269
1763337600000,94261.45,95559.99,93767.27,95496.77,4124.53725
1763352000000,95496.77,95880.0,94849.37,95653.77,3839.84656
1763366400000,95653.78,96026.71,95309.68,95565.38,3415.65942
1763380800000,95565.38,96043.0,93571.3,93959.67,8085.63652
1763395200000,93959.68,94419.88,91588.0,91678.93,11700.57582
1763409600000,91678.93,92399.48,91220.0,92215.14,8052.34249
1763424000000,92215.14,92357.51,89700.0,90842.72,10647.23561
1763438400000,90842.72,90851.66,89253.78,90512.1,9028.06735
1763452800000,90512.1,91617.17,90509.79,91517.82,5777.46408
1763467200000,91517.83,93049.91,90905.7,92910.1,7097.51563
1763481600000,92910.1,93836.01,92579.23,93195.61,4917.36921
1763496000000,93195.61,93423.74,92462.72,92960.83,2367.49581
1763510400000,92960.83,92980.22,91660.49,91874.52,3065.15376
1763524800000,91874.51,92028.92,90025.06,91863.64,5635.23952
1763539200000,91863.64,91950.0,91072.41,91410.22,2540.86239
1763553600000,91410.23,92384.61,89880.0,89951.7,6014.09197
1763568000000,89951.7,90232.56,88630.71,88884.56,8787.19485
1763582400000,88884.56,91594.0,88608.0,91554.96,6244.09511
1763596800000,91554.96,92798.14,91185.26,92440.32,3929.05974
1763611200000,92440.33,93160.0,91687.07,92320.18,3791.89
1763625600000,92320.18,92400.94,91440.55,91934.0,3200.83736
1763640000000,91934.01,92541.92,89835.34,89869.88,6162.85424
1763654400000,89869.88,89911.73,86100.0,86921.28,17595.68288
1763668800000,86921.27,88250.0,86325.23,86637.23,5052.86651
1763683200000,86637.22,87498.94,85360.0,85821.34,6428.51913
1763697600000,85821.35,86459.53,82000.0,84049.39,14205.49105
1763712000000,84049.38,84709.89,81648.0,82309.66,16184.92659
1763726400000,82309.67,85496.0,80600.0,82932.47,23041.35364
1763740800000,82932.46,85572.82,82333.0,84209.3,8107.54282
1763755200000,84209.3,85416.66,83464.96,85129.43,4288.29356
1763769600000,85129.42,85620.0,84212.39,84440.47,2923.21557
1763784000000,84440.48,84799.54,83832.91,84580.06,2218.31844
1763798400000,84580.06,84586.62,83500.0,84098.94,3342.45829
1763812800000,84098.94,84755.83,83620.16,84284.01,2668.44444
1763827200000,84284.01,84899.0,84219.62,84609.76,1351.08151
1763841600000,84609.77,85260.0,84237.7,84739.74,1690.41438
1763856000000,84739.75,86349.84,84667.57,86308.54,4004.15131
1763870400000,86308.54,86860.0,85420.0,85782.19,2913.01357
1763884800000,85782.18,86465.24,85768.22,86331.28,2087.40357
1763899200000,86331.28,87244.51,86271.1,87087.44,3471.36676
1763913600000,87087.44,87689.47,86502.47,87325.01,3711.9574
1763928000000,87325.01,88127.64,86701.54,86830.0,3546.57157
1763942400000,86830.0,88059.44,85946.65,87460.02,4318.16094
1763956800000,87460.03,87837.57,86450.0,87050.39,3276.3396
1763971200000,87050.39,87050.39,85696.56,86264.72,3484.50939
1763985600000,86264.71,86741.5,85272.0,86616.44,4635.50962
1764000000000,86616.44,88834.62,86616.43,88327.29,6003.91247
1764014400000,88327.29,89228.0,88252.5,88300.01,2944.69593
1764028800000,88300.01,88300.01,87457.53,87822.12,2506.39849
1764043200000,87822.12,88519.99,87300.0,87384.81,3032.60485
1764057600000,87384.81,87606.57,86666.0,87361.71,3402.11161
1764072000000,87361.71,87792.2,86116.0,86988.94,4897.6285
1764086400000,86988.93,88155.65,86182.49,86882.85,3228.35208
1764100800000,86882.84,87889.38,86565.48,87369.96,2499.94557
1764115200000,87369.97,88224.0,87069.97,87119.92,2235.2732
1764129600000,87119.93,87970.0,86909.99,87935.05,1828.65169
1764144000000,87935.05,87941.58,86670.36,87095.79,2199.53135
1764158400000,87095.78,87693.21,86306.77,86978.0,4198.26229
1764172800000,86977.99,90418.39,86956.61,89957.36,7510.43418
1764187200000,89957.37,90656.08,89508.85,90484.02,3703.66968
1764201600000,90484.01,91950.0,90089.91,91091.68,5743.81731
1764216000000,91091.68,91554.49,90889.11,91408.34,2443.78349
1764230400000,91408.34,91940.18,91221.17,91371.88,2353.99141
1764244800000,91371.87,91457.36,90438.43,90958.3,2921.51001
1764259200000,90958.29,91843.59,90850.77,91528.21,2279.61546
1764273600000,91528.22,91600.0,91114.52,91333.95,1090.79164
1764288000000,91333.94,91417.99,90652.55,91208.85,1930.05393
1764302400000,91208.85,91707.79,90867.43,90910.87,1873.92377
1764316800000,90910.87,92030.0,90907.98,91437.64,3175.31997
1764331200000,91437.64,93092.0,91380.94,92362.49,5046.613
1764345600000,92362.5,92376.0,90180.63,91157.44,5779.19663
1764360000000,91157.44,91247.16,90705.57,90890.7,1025.75282
1764374400000,90890.71,91119.99,90546.36,90680.26,940.81817
1764388800000,90680.26,90931.56,90311.92,90567.67,1229.54953
1764403200000,90567.66,90738.17,90376.37,90673.19,957.44805
1764417600000,90673.2,91110.36,90530.93,91063.5,1148.02698
1764432000000,91063.5,91165.65,90155.47,90640.78,2192.51887
1764446400000,90640.77,91051.87,90400.21,90802.44,961.52131
1764460800000,90802.44,91055.5,90471.0,90909.35,1115.17062
1764475200000,90909.35,91037.72,90670.4,90968.16,549.91781
1764489600000,90968.16,91632.0,90927.16,91048.78,2515.69204
1764504000000,91048.79,92000.01,91009.0,91435.31,2629.14986
1764518400000,91435.31,91850.0,91159.42,91460.79,1049.01646
1764532800000,91460.79,91626.75,90336.9,90360.0,1828.79496
1764547200000,90360.01,90417.0,86161.61,86346.13,10249.65966
1764561600000,86346.13,86578.06,85604.0,86550.3,4937.16707
1764576000000,86550.3,86938.01,86131.01,86149.15,3005.76787
1764590400000,86146.59,86674.0,83822.76,84677.87,8124.37241
1764604800000,84677.87,85555.0,84030.95,85024.5,4598.10295
1764619200000,85024.5,86860.0,85007.69,86286.01,3593.94231
1764633600000,86286.01,87350.0,86184.39,86976.99,3245.81604
1764648000000,86977.0,87288.48,86818.14,87012.65,1733.23534
1764662400000,87012.64,87628.78,86296.21,87368.92,3361.03567
1764676800000,87368.92,91200.0,87032.75,90850.01,9300.50019
1764691200000,90850.01,92307.65,90201.0,91903.39,6152.68006
1764705600000,91903.38,92000.0,90720.87,91277.88,4416.96002
1764720000000,91277.88,93087.09,90990.23,92628.91,4425.07634
1764734400000,92628.91,93958.58,92625.0,92999.99,4546.45939
1764748800000,93000.0,93389.62,92666.0,93005.68,2770.10259
1764763200000,93005.68,93700.0,91697.0,92373.3,6523.23972
1764777600000,92373.3,93500.0,91786.99,93024.99,3624.68485
1764792000000,93025.0,94150.0,92825.56,93429.95,3822.96296
1764806400000,93429.95,94080.0,92669.82,93543.04,3844.7002
1764820800000,93543.03,93588.48,92775.0,93397.67,3070.50786
1764835200000,93397.67,93621.31,92736.9,92948.31,1917.02375
1764849600000,92948.32,93257.0,91801.0,92971.49,4296.15789
1764864000000,92971.49,93174.55,90889.0,91975.44,4860.7112
1764878400000,91975.43,92718.53,91688.92,92078.06,1814.83969
1764892800000,92078.06,92692.36,91959.92,92142.75,1751.29187
1764907200000,92142.75,92497.51,91813.37,92258.65,1387.19156
1764921600000,92258.64,92258.65,90956.25,91351.43,2431.69816
