timestamp,open,high,low,close,volume
1771218000000,68870.07,68900.0,68293.28,68385.29,353.88428
1771221600000,68385.29,68527.8,68228.76,68450.8,240.56615
1771225200000,68450.8,68672.59,68380.0,68587.9,362.20306
1771228800000,68587.89,68798.7,68542.63,68762.85,301.81895
1771232400000,68762.86,69060.77,68748.02,68992.71,453.08481
1771236000000,68992.7,68992.71,68690.85,68798.22,358.68374
1771239600000,68798.21,68918.22,68338.9,68812.83,495.50759
1771243200000,68812.84,69848.48,68807.54,69763.24,1602.28029
1771246800000,69763.24,70126.67,68225.0,68395.1,1720.62066
1771250400000,68395.11,68718.3,68260.39,68427.64,1092.6004
1771254000000,68427.64,68607.22,67294.11,67539.52,2148.07022
1771257600000,67539.53,67974.86,67513.94,67888.7,895.58119
1771261200000,67888.7,68074.12,67600.93,67951.86,501.76328
1771264800000,67951.85,68245.34,67830.82,67860.13,606.24788
1771268400000,67860.13,68130.0,67824.91,67913.43,262.97624
1771272000000,67913.44,68549.14,67827.11,68530.0,457.58536
1771275600000,68530.0,68933.85,68427.18,68862.88,534.27425
1771279200000,68862.89,68890.0,68509.07,68591.02,556.75779
1771282800000,68591.01,68978.88,68538.57,68892.43,348.95355
1771286400000,68892.43,69042.74,68704.36,68878.27,476.69143
1771290000000,68878.27,68996.67,68563.16,68618.11,499.89142
1771293600000,68618.12,69241.5,68387.2,68838.48,625.65656
1771297200000,68838.48,68860.68,68470.0,68474.9,367.85689
1771300800000,68474.9,68707.49,68288.0,68481.67,329.69022
1771304400000,68481.68,68510.76,67892.0,68245.71,633.07748
1771308000000,68245.71,68519.99,68242.49,68400.0,230.38739
1771311600000,68400.01,68480.0,68165.02,68388.12,314.74756
1771315200000,68388.12,68479.17,68130.78,68177.53,285.96667
1771318800000,68177.53,68308.37,67992.03,68126.28,404.18575
1771322400000,68126.29,68194.46,67704.96,67845.3,504.39951
1771326000000,67845.3,67935.73,67690.0,67854.6,507.67784
1771329600000,67854.6,68299.4,67827.52,67919.49,607.94036
1771333200000,67919.49,68360.5,67734.36,68136.34,716.87733
1771336800000,68136.35,68337.6,66734.3,66875.06,2328.63639
1771340400000,66875.06,67409.99,66621.06,67392.05,2309.0413
1771344000000,67392.06,68158.1,67317.6,67517.36,1448.76651
1771347600000,67517.36,67714.28,66881.08,67244.22,1144.38591
1771351200000,67244.22,68227.41,67127.86,68098.62,824.93415
1771354800000,68098.63,68235.39,67695.45,67793.32,785.88027
1771358400000,67793.32,67928.08,67484.16,67753.3,471.88623
1771362000000,67753.3,67926.29,67538.0,67680.54,253.25027
1771365600000,67680.55,67788.42,67513.42,67527.72,176.97341
1771369200000,67527.72,67617.46,67394.0,67503.52,240.26836
1771372800000,67503.52,67627.97,67290.3,67302.65,186.99827
